$0
$400000
$500000
$600000
<class 'datetime.datetime'> ---> $700000
2026-07-12 19:43:27.319736 ---> $0
2026-07-12 19:43:28.468491 ---> $100000
2026-07-12 19:43:30.023791 ---> $200000
<built-in method now of type object at 0x00007FFC349A5270> ---> $1000000
2026-07-12 20:05:32.879545 ---> $300000
2026-07-12 21:48:18.944575 ---> $1000000
2026-07-12 21:51:23.069093 ---> $1000000
2026-07-12 21:56:49.996164 ---> $1000000
2026-07-12 21:57:13.277504 ---> $1000000
2026-07-12 22:02:23.951785 ---> $500000
2026-07-12 22:02:32.960056 ---> $1000000
2026-07-12 22:04:55.932180 ---> $500000
2026-07-12 22:05:05.203565 ---> $900000
2026-07-12 22:08:34.716948 ---> $100000
2026-07-12 22:17:03.103479 ---> $500000
2026-07-12 22:17:09.073667 ---> $900000
2026-07-12 22:21:06.002535 ---> $900000
2026-07-12 22:25:54.355708 ---> $500000
2026-07-12 22:26:17.213617 ---> $1000000
2026-07-12 22:27:43.464605 ---> $1000000
2026-07-12 22:30:43.715975 ---> $1000000
2026-07-12 22:33:04.036244 ---> $0
2026-07-12 22:34:56.382340 ---> $50000
2026-07-12 22:46:10.540458 ---> $0
2026-07-12 22:49:17.441528 ---> $0
2026-07-12 22:57:27.818482 ---> $200000
2026-07-12 22:59:14.911784 ---> $100000
2026-07-12 23:00:47.585456 ---> $0
